track_id,popularity,duration_ms,danceability,energy,loudness,instrumentalness,valence,tempo,track_genre
0BaVcB3Mn8QgGUdEi2yqCb,1,310346,0.416,0.954,-3.157,0.0,0.498,144.724,alt-rock
1t3koreZmmgvTYvxATwqfz,39,219653,0.809,0.555,-5.689,1.46e-06,0.473,104.085,acoustic
7JxdbxzHJZLP9kBtUNuwKt,25,173071,0.821,0.779,-4.283,0.0,0.464,105.003,afrobeat
7qJTx6D79BV0misxpST1xi,19,252853,0.691,0.921,-4.138,0.0794,0.597,116.001,afrobeat
3mJV4kByjmgU3ubU7JPp9W,0,264266,0.596,0.964,-5.754,0.834,0.399,128.021,alt-rock
79keCNa2NAa4xMInUQCATJ,30,184217,0.258,0.729,-6.457,0.00442,0.462,116.943,acoustic
1401jEwuaQoh40lXA07jUg,19,212893,0.324,0.826,-8.127,7.85e-06,0.588,128.375,afrobeat
7qGrjVQQmh6blinO4DyK3c,18,828586,0.747,0.858,-8.081,8.49e-05,0.536,106.693,afrobeat
4BPfhlDv2iYWwpFgaBf4yO,19,196986,0.803,0.86,-6.522,4.45e-05,0.534,109.966,afrobeat
6jxGGknzB1s1fnCKvRt2NC,19,184991,0.891,0.855,-3.991,0.0215,0.527,115.0,afrobeat
4ckCgKE0aIy4TNSGdm36QT,26,88626,0.548,0.666,-2.277,0.0,0.582,98.806,acoustic
68B0UiX7JPWB8YKEDMK7ru,17,209711,0.576,0.887,-2.424,0.0642,0.592,109.957,afrobeat
0EKNvyq6JQXvaslzqnjZQf,23,186648,0.711,0.811,-5.59,7.09e-06,0.417,100.065,afrobeat
2SkJKMfjpYsNv0KWOxiegX,62,229320,0.709,0.913,-5.148,0.0,0.519,108.024,acoustic
5ugV3rhvi2h6l52e1cIfLw,0,234626,0.544,0.848,-6.804,5.22e-05,0.489,99.039,alt-rock
3WtdWGFcbmVi2uKMcT4KZ2,54,236973,0.616,0.833,-7.932,9.77e-05,0.553,104.043,alt-rock
3qdalnFVTJdRheIRZyuNmP,34,174538,0.694,0.82,-7.885,0.897,0.588,99.922,afrobeat
7nTDFaGqZtkA0KDEays8vu,30,198213,0.765,0.912,-3.823,1.25e-06,0.568,107.999,afrobeat
4UI3qMUacIIev18bDTyRRR,28,174680,0.736,0.938,-4.176,5.29e-05,0.561,104.981,afrobeat
